0:0:0:0:0:0:0:1 - - [26/Apr/2023:13:45:37 +0530] "GET /E_Clothing/img/carousel-1.jpg HTTP/1.1" 200 180418
0:0:0:0:0:0:0:1 - - [26/Apr/2023:13:45:37 +0530] "GET /E_Clothing/img/carousel-2.jpg HTTP/1.1" 200 142390
0:0:0:0:0:0:0:1 - - [26/Apr/2023:13:45:37 +0530] "GET /E_Clothing/lib/easing/easing.min.js HTTP/1.1" 200 2302
0:0:0:0:0:0:0:1 - - [26/Apr/2023:13:45:37 +0530] "GET /E_Clothing/img/cat-2.jpg HTTP/1.1" 200 18182
0:0:0:0:0:0:0:1 - - [26/Apr/2023:13:45:37 +0530] "GET /E_Clothing/img/cat-1.jpg HTTP/1.1" 200 15414
0:0:0:0:0:0:0:1 - - [26/Apr/2023:13:45:37 +0530] "GET /E_Clothing/mail/contact.js HTTP/1.1" 200 2598
0:0:0:0:0:0:0:1 - - [26/Apr/2023:13:45:37 +0530] "GET /E_Clothing/js/main.js HTTP/1.1" 200 2525
0:0:0:0:0:0:0:1 - - [26/Apr/2023:13:45:37 +0530] "GET /E_Clothing/mail/jqBootstrapValidation.min.js HTTP/1.1" 200 14877
0:0:0:0:0:0:0:1 - - [26/Apr/2023:13:45:38 +0530] "GET /E_Clothing/img/offer-1.png HTTP/1.1" 200 51525
0:0:0:0:0:0:0:1 - - [26/Apr/2023:13:45:38 +0530] "GET /E_Clothing/lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 200 42766
0:0:0:0:0:0:0:1 - - [26/Apr/2023:13:45:38 +0530] "GET /E_Clothing/img/cat-5.jpg HTTP/1.1" 200 38256
0:0:0:0:0:0:0:1 - - [26/Apr/2023:13:45:38 +0530] "GET /E_Clothing/img/cat-4.jpg HTTP/1.1" 200 35606
0:0:0:0:0:0:0:1 - - [26/Apr/2023:13:45:38 +0530] "GET /E_Clothing/img/cat-6.jpg HTTP/1.1" 200 37948
0:0:0:0:0:0:0:1 - - [26/Apr/2023:13:45:38 +0530] "GET /E_Clothing/img/cat-3.jpg HTTP/1.1" 200 15364
0:0:0:0:0:0:0:1 - - [26/Apr/2023:13:45:38 +0530] "GET /E_Clothing/img/offer-2.png HTTP/1.1" 200 59009
0:0:0:0:0:0:0:1 - - [26/Apr/2023:13:45:38 +0530] "GET /E_Clothing/img/product-1.jpg HTTP/1.1" 200 16057
0:0:0:0:0:0:0:1 - - [26/Apr/2023:13:45:38 +0530] "GET /E_Clothing/img/product-2.jpg HTTP/1.1" 200 30216
0:0:0:0:0:0:0:1 - - [26/Apr/2023:13:45:38 +0530] "GET /E_Clothing/img/product-4.jpg HTTP/1.1" 200 17364
